-90426358G;OLHal2ZI;Nertie Boncore;8 Lakewood Trail;37,924152;-5,548795
31;48;37,005127:3,019837;37,728233:3,856227;11/12/2034 16:12;1454JEB
32;16;37,810999:3,008820;37,570482:3,492264;27/7/2033 16:12;3049YGR
33;16;37,743217:3,650410;37,761254:3,057161;30/4/2048 16:12;5391IKE
34;5;37,419538:3,498093;37,874905:3,452406;23/1/2039 16:12;1429VDU
-71511647F;QI2yq6RJr;Delano Abrahamovitz;50 Fuller Avenue;41,513760;2,946907
35;57;37,109806:3,700827;37,101840:3,159307;11/12/2020 16:12;9506RLF
36;22;37,289834:3,541398;37,572741:3,563097;7/12/2055 16:12;1966PVO
-04463446E;lrC3oV;Brod Flintuff;839 Almo Lane;40,722992;-0,032184
37;1;37,784722:3,089358;37,714103:3,900784;16/10/2025 16:12;2147HGU
38;1;37,305765:3,231880;37,814173:3,022095;30/6/2043 16:12;5921KRL
39;42;37,652333:3,996490;37,725059:3,933409;2/8/2032 16:12;7409JOD
40;8;37,400952:3,550127;37,571947:3,819941;31/8/2046 16:12;9700JNJ
-66621029I;ylvVNqN;Beryle Garcia;14 Brown Crossing;39,889721;-3,671210
41;3;37,064272:3,827631;37,361064:3,840114;20/4/2045 16:12;3333LNH
42;34;37,849422:3,067293;37,210852:3,214057;4/4/2038 16:12;4218QUR
-23148215Q;JuIGuSzYm;Yolanda Natwick;8 Bayside Avenue;41,970219;-4,162272
43;66;37,540056:3,886624;37,292276:3,972808;13/11/2048 16:12;2801CLM
44;15;37,609851:3,874325;37,610828:3,056337;10/11/2034 16:12;9275MGP
45;3;37,605548:3,168706;37,381756:3,929716;7/7/2048 16:12;4720WJV
46;38;37,085391:3,755303;37,306162:3,367901;12/10/2055 16:12;8827ECL
-04862986E;5ybFmZO7g;Selie Kibblewhite;09571 Steensland Hill;37,221287;-0,176244
47;23;37,536943:3,807611;37,302683:3,615955;30/1/2049 16:12;1213ASY
-19478473F;jaMzXVrlZ3t;Auberta O'Hannen;8347 Forest Hill;36,024967;-5,965612
48;5;37,044282:3,947935;37,311289:3,103488;11/12/2037 16:12;3268URV
-23496379M;CxeDsB12VI2;Crosby Martlew;3 Independence Pass;38,058338;-6,552582
49;59;37,893765:3,236946;37,064913:3,517624;19/11/2053 16:12;0423OZI
50;68;37,706259:3,973327;37,413892:3,713797;25/4/2049 16:12;0831ERD
51;48;37,752953:3,497055;37,730796:3,685690;27/3/2036 16:12;8073QRC
-88570915S;Z0m8LAFN6s;Dannie Gawen;4 Jackson Parkway;41,710411;2,686339
52;15;37,203589:3,689779;37,505631:3,123112;12/2/2026 16:12;5505KYU
53;1;37,733207:3,065554;37,037751:3,065767;11/3/2057 16:12;9771IRH
54;83;37,078555:3,037812;37,689718:3,007294;25/3/2025 16:12;0520DLR
-76953487E;0QeZs8D;Laina Jonuzi;2857 Pepper Wood Place;36,713554;2,209039
55;45;37,642842:3,816095;37,535325:3,339824;29/4/2039 16:12;0453MRU
-45522758O;lxcizUgIrTBX;Isidoro Backler;801 Old Gate Park;41,087753;-4,806538
56;82;37,594165:3,930540;37,931944:3,005280;21/2/2054 16:12;2022ZRD
57;11;37,924741:3,653096;37,344127:3,130741;25/4/2036 16:12;8431VKN
58;73;37,935575:3,374035;37,819117:3,233406;15/12/2030 16:12;7566UTG
59;47;37,338511:3,146855;37,084445:3,634571;5/3/2025 16:12;9319CSA
60;4;37,740043:3,114902;37,854213:3,266457;11/5/2022 16:12;8713JML
-71102822U;DWZJPWJDJT;Arline Arnault;0 Lake View Junction;36,429371;2,357740
61;44;37,132908:3,849269;37,600055:3,258797;11/1/2022 16:12;6886FBS
62;86;37,909146:3,826930;37,019959:3,599445;29/9/2038 16:12;8233SQJ
-24954624Z;aMi7gIU;Eugen Scorrer;9 Kenwood Park;40,886768;0,422490
63;61;37,619251:3,041810;37,456160:3,395215;1/6/2033 16:12;7366CDG
64;50;37,199866:3,169652;37,830439:3,989349;17/1/2036 16:12;1116AMA
65;56;37,364147:3,811335;37,480148:3,947569;24/11/2034 16:12;4070IRT
-35071770Y;SB4MipPTG1;Gleda Swettenham;179 Kinsman Trail;37,965660;1,892336
66;1;37,155858:3,589282;37,155644:3,899075;2/10/2039 16:12;2137IOC
67;8;37,518204:3,129978;37,819788:3,059267;15/9/2045 16:12;3590GET
-40791875Y;ttgMelxs;Kerk Harbottle;916 Buhler Trail;40,708992;-1,549193
68;1;37,773827:3,295206;37,899686:3,719199;11/12/2033 16:12;9692CWA
69;37;37,526719:3,436293;37,631397:3,823023;23/3/2025 16:12;3461WXR
70;67;37,215339:3,662069;37,019501:3,814508;15/12/2031 16:12;1137JKF
71;3;37,795221:3,195441;37,615589:3,432844;14/5/2057 16:12;7926WDX
72;90;37,486465:3,623585;37,272469:3,449934;8/4/2049 16:12;4023YWC
-52558304S;XKyEP89i;Lenci Pantry;157 Roth Place;39,718872;-1,986800
73;8;37,636860:3,516800;37,489669:3,848384;22/1/2024 16:12;2337EEE
74;22;37,557024:3,174444;37,241157:3,699179;20/2/2039 16:12;5504XLK
75;18;37,730918:3,238929;37,251259:3,744987;1/10/2034 16:12;2047OSE
76;19;37,987732:3,041292;37,106815:3,714530;1/11/2019 16:12;1383WCI
-26056050D;HB2l3s;Timmy Basey;73 Village Green Junction;37,141571;-6,405050
77;3;37,441389:3,104556;37,972320:3,544542;4/1/2058 16:12;8429RHR
78;72;37,309183:3,631397;37,718619:3,467544;30/9/2025 16:12;0011KLW
79;15;37,699545:3,826228;37,715171:3,715720;20/1/2023 16:12;5450SDS
80;5;37,133305:3,038789;37,185400:3,919980;24/10/2040 16:12;2075SIY
-11504160I;nteoZwb1uoRN;Ruprecht Ferry;79 Mccormick Circle;41,159752;1,596577
81;22;37,605243:3,555193;37,220313:3,534288;12/7/2052 16:12;4724ZCS
82;33;37,725211:3,532853;37,851436:3,055971;29/8/2022 16:12;6990EZN
-95590110K;uFHdqobQJzF;Finlay Pakeman;04 Blackbird Avenue;39,338100;1,173786
83;35;37,387158:3,897946;37,383618:3,361553;3/6/2031 16:12;0528UBI
-03703583M;xveiYUtcq1p;Babs Birney;4 Del Mar Plaza;38,733959;-1,679720
84;1;37,088290:3,023499;37,323405:3,859645;29/5/2056 16:12;6956RYH
85;12;37,628162:3,235878;37,208441:3,667928;17/11/2037 16:12;8552KRW
86;33;37,846156:3,890439;37,057924:3,525254;6/8/2028 16:12;0109BKN
-24412296U;tIGpO3VK;Robin Scone;30931 Oneill Terrace;39,225559;-4,753192
87;37;37,555437:3,699087;37,422956:3,628529;19/7/2055 16:12;8066QEF
88;10;37,986084:3,497971;37,642537:3,661184;1/10/2024 16:12;2792EQL
-32160335Y;1SKoT5B;Sawyer Aylott;75700 Jana Terrace;39,362789;-5,839891
89;22;37,538774:3,536119;37,588855:3,571276;4/10/2055 16:12;7409JOD
90;29;37,924650:3,195807;37,559771:3,915677;7/12/2026 16:12;1814BCX
91;20;37,461867:3,943632;37,735740:3,814417;28/2/2055 16:12;4885SPY
92;57;37,167913:3,435591;37,459181:3,105319;13/4/2040 16:12;4637IGS
93;41;37,818720:3,097232;37,361919:3,937162;18/5/2037 16:12;2077SWL
-98451171C;1IL6m1I5zQ;Velvet Wickerson;48 Sloan Street;36,582973;-6,066735
94;27;37,180181:3,995239;37,659017:3,625568;14/12/2058 16:12;5308HQP
95;68;37,917631:3,674184;37,179144:3,884579;1/9/2045 16:12;8779UYH
96;3;37,833583:3,852779;37,535539:3,000671;6/5/2038 16:12;0142YDI
97;45;37,231727:3,092685;37,177557:3,052034;1/5/2027 16:12;3333LNH
-46127409Q;4szAV875lvYB;Tanney Sandwick;2380 Sage Road;37,012302;-4,073157
98;23;37,590350:3,225410;37,149236:3,396130;7/12/2024 16:12;2022ZRD
99;35;37,149358:3,173681;37,589770:3,851558;14/4/2045 16:12;8213SGX
100;38;37,180395:3,824305;37,910428:3,008698;15/7/2048 16:12;1284YJG
101;15;37,834101:3,284829;37,963530:3,701041;6/3/2036 16:12;1519YXB
102;13;37,570818:3,281289;37,023530:3,228767;10/4/2055 16:12;3727HLH
-47212943I;rS22cErFMZI;Baily Tinmouth;0 Kenwood Place;38,396065;-7,333412
103;36;37,328745:3,685049;37,092044:3,907865;9/12/2036 16:12;7137PHR
-32899112U;kp788j8Q;Tani Touhig;3 Brickson Park Circle;40,077877;-4,631815
104;28;37,000763:3,094211;37,835200:3,193609;11/11/2036 16:12;6482RGE
105;75;37,643208:3,467299;37,628742:3,607868;5/3/2032 16:12;1125GFW
-53908599T;E8huKahMXZ;Joelynn Reiach;32577 Oriole Terrace;42,243721;-6,322299
106;30;37,983489:3,149754;37,690939:3,428083;19/7/2057 16:12;4269SDA
107;75;37,256508:3,199011;37,721183:3,743614;27/11/2043 16:12;7566UTG
-86047602E;UJ4QrUARSN4;Charmane Biddleston;46 Warrior Lane;43,076405;-5,047287
108;74;37,935087:3,520768;37,463301:3,555834;14/10/2050 16:12;9371TTK
109;47;37,242195:3,205756;37,872433:3,036134;22/10/2030 16:12;8527GLG
-98333840P;5BMVl2Z3I;Sumner Pleven;5309 Jenifer Circle;37,514256;-1,983933
110;79;37,391675:3,325541;37,092257:3,315653;15/5/2040 16:12;4296QPT
111;53;37,307016:3,369732;37,256783:3,318278;10/7/2047 16:12;1500YFM
112;24;37,997070:3,430250;37,180273:3,626026;29/9/2030 16:12;9145DGP
-38719316N;oImhgRu;Harvey Jencey;88413 Mcbride Parkway;42,451653;3,052185
113;72;37,564440:3,476852;37,217078:3,518815;21/1/2057 16:12;6000QOI
114;4;37,299844:3,167058;37,318888:3,654866;29/5/2045 16:12;5617WNC
115;36;37,354686:3,070803;37,615955:3,408002;3/11/2047 16:12;8867HWK
116;2;37,791528:3,239448;37,415998:3,849757;25/9/2034 16:12;3841FVG
-38338537Q;PQ9E1HN;Betta Trevorrow;1 Little Fleur Place;39,196522;-3,736894
117;12;37,256355:3,012513;37,857692:3,002716;1/1/2029 16:12;0021CFD
118;28;37,885128:3,690054;37,932890:3,363079;11/2/2045 16:12;4598YHI
-85587106N;gMdbMXlhV;Leda Goldes;401 Steensland Place;40,754635;0,433319
119;6;37,046113:3,811884;37,824641:3,946562;14/2/2023 16:12;5477BAG
120;7;37,884060:3,212165;37,443983:3,336222;2/7/2047 16:12;9299IQB
121;5;37,251900:3,204321;37,821711:3,879330;11/1/2037 16:12;4190DCN
122;23;37,651448:3,978240;37,643483:3,168340;22/5/2050 16:12;5761SMD
-77642214B;lGMYtPN2ej;Jesse Birtles;87746 Fordem Center;41,012550;-8,587344
123;2;37,901303:3,443525;37,310282:3,851924;14/2/2025 16:12;0243NHR
124;34;37,434889:3,383099;37,025178:3,324686;25/7/2041 16:12;5810GHO
125;2;37,724113:3,764550;37,911252:3,808771;29/12/2048 16:12;2793LMZ
126;36;37,463301:3,217261;37,307505:3,110996;7/7/2045 16:12;6038PES
127;6;37,035005:3,832606;37,632649:3,858608;7/7/2058 16:12;6370IDQ
-53073318H;xYEavJZmF;Doralia Seligson;1 Daystar Park;41,189968;-7,973492
128;2;37,115940:3,138096;37,120609:3,686758;27/12/2057 16:12;8821DTE
129;28;37,189550:3,050478;37,113010:3,971892;8/4/2045 16:12;7614OBD
130;1;37,395398:3,126408;37,748314:3,196814;18/6/2020 16:12;3928TAR
131;27;37,213233:3,908750;37,027772:3,671773;11/1/2044 16:12;7701RRR
-36875226J;Ssfiu5l;Goraud Ransbury;5 Milwaukee Lane;41,703392;-6,535908
132;3;37,007691:3,406293;37,416089:3,683401;27/2/2039 16:12;8625AQM
133;11;37,703818:3,246925;37,309305:3,819697;21/9/2040 16:12;8007BKK
134;40;37,763695:3,016663;37,198645:3,656606;20/4/2031 16:12;9096TMK
135;6;37,717002:3,375164;37,086917:3,712119;7/3/2020 16:12;7504SOE
136;41;37,488083:3,165166;37,025086:3,644032;1/2/2024 16:12;5245CZW
-42607648P;9ziS7oJ9JQP3;Rennie Bassom;654 Caliangt Pass;42,333530;1,767518
137;18;37,261818:3,407544;37,797205:3,440596;29/3/2058 16:12;8527GLG
138;45;37,925443:3,582171;37,725059:3,993744;16/9/2052 16:12;1137JKF
-36934352X;jmPfLkJK6;Carroll Jenno;88 Golf View Point;42,670044;1,650851
139;2;37,664022:3,536027;37,620014:3,735160;6/1/2021 16:12;9591PZS
140;61;37,854244:3,598010;37,175451:3,196417;27/1/2048 16:12;0366XCR
141;4;37,326823:3,259774;37,733421:3,110752;21/1/2037 16:12;9381TEK
142;1;37,090823:3,929380;37,473556:3,321451;16/5/2053 16:12;0068SDF
143;63;37,044435:3,853908;37,107212:3,809290;23/7/2025 16:12;4838RSS
-91440019Q;exxu3nb8aYq;Fleming Bendig;26 Little Fleur Place;36,331966;-0,543390
144;38;37,153020:3,812098;37,989013:3,305734;18/1/2057 16:12;7511WKZ
145;2;37,885739:3,626240;37,038301:3,550768;15/4/2037 16:12;4588IXQ
146;27;37,074435:3,865200;37,508988:3,430311;20/9/2038 16:12;5420XPM
147;9;37,363353:3,333537;37,493240:3,444075;28/7/2039 16:12;8005DBT
-53657857G;OxuwYwPZ;Brooks Brecknell;3988 Merry Circle;39,048862;-1,130869
148;2;37,990844:3,060183;37,829371:3,291299;20/11/2031 16:12;5605HQC
149;7;37,526170:3,785241;37,241401:3,878048;12/7/2050 16:12;9653SFI
150;75;37,907224:3,808435;37,151402:3,729789;20/7/2034 16:12;8618CJT
-17877723B;3Sh7i2ByUt;Lulu Raith;84691 Parkside Avenue;36,927902;-4,326687
151;14;37,282083:3,913114;37,843471:3,754051;18/5/2057 16:12;6718TOC
-23771174X;1Wnqpi;Marta Severy;727 Springs Center;42,529316;-4,430190
152;39;37,548143:3,467788;37,967101:3,573351;29/6/2055 16:12;5743BDW
153;19;37,270241:3,708335;37,236763:3,002167;24/3/2028 16:12;4683VSX
154;18;37,336924:3,417707;37,350871:3,676504;7/5/2052 16:12;1339OQM
155;28;37,072939:3,943907;37,787072:3,267891;29/11/2026 16:12;3726ZYY
156;11;37,753441:3,176824;37,221595:3,261910;23/10/2042 16:12;3646DYA
-19545052K;47xsM9J;Leesa Pearne;2 Coolidge Circle;40,777126;-1,342951
157;4;37,990265:3,114200;37,054628:3,344951;19/9/2045 16:12;5015ZVK
-67483763P;bV4pq4NfnRP;Tressa Basey;71403 Huxley Avenue;38,989376;-5,327310
158;4;37,220466:3,506668;37,039003:3,323984;21/3/2054 16:12;7750MKP
159;8;37,148412:3,958495;37,684408:3,988495;1/9/2021 16:12;0411NGU
160;17;37,348338:3,783776;37,693625:3,185369;13/4/2047 16:12;5054COG
161;67;37,807184:3,886166;37,417554:3,325510;19/5/2037 16:12;2665FGI
-56780257D;QiimtQ;Bridget Dowber;5534 Mitchell Alley;35,926071;-8,329778
162;15;37,039399:3,896573;37,425611:3,887051;14/6/2033 16:12;5720MLB
-55937415D;B4MsbINdM;Marika Allwood;14556 Hallows Drive;39,392899;-9,250985
163;38;37,376202:3,621082;37,919797:3,366070;11/12/2025 16:12;5318MRQ
164;1;37,611835:3,590838;37,981841:3,103275;28/11/2045 16:12;4337OKD
165;20;37,355724:3,311808;37,672414:3,936460;5/3/2050 16:12;5531NLN
166;8;37,113590:3,668661;37,559862:3,751915;23/6/2047 16:12;5574BJD
167;2;37,219459:3,905210;37,414014:3,911161;12/2/2048 16:12;3214FQB
-16428422M;SziqKRe05Yx;Jule Burder;54879 American Circle;42,398411;2,843623
168;62;37,144536:3,597491;37,648824:3,809503;3/4/2042 16:12;3709JBT
169;28;37,444990:3,914823;37,951292:3,076052;16/7/2020 16:12;4335AKO
-22466171N;PAXUIUsydM9;Bronny Greenroa;641 Oxford Lane;39,292297;-6,034958
170;14;37,442793:3,305033;37,756005:3,223823;6/6/2025 16:12;5416IFG
171;38;37,130131:3,173559;37,926664:3,867519;19/11/2045 16:12;7091XCH
172;36;37,552782:3,576769;37,632984:3,749107;19/8/2057 16:12;4103RID
173;1;37,352458:3,617786;37,530747:3,312265;16/12/2035 16:12;3343IUN
-35624329A;sNvdypVqYgN;Lilias Ikringill;6 Hermina Hill;42,433071;-2,593262
174;39;37,338725:3,300851;37,311686:3,027650;12/9/2029 16:12;0210ENV
175;91;37,690603:3,301614;37,744194:3,400067;26/6/2026 16:12;8614BGO
176;1;37,187170:3,413038;37,952239:3,671773;10/12/2045 16:12;3905IVN
-64384959Z;tJOW5xxGh;Rosita Bellard;14 American Street;36,166393;2,413492
177;82;37,704093:3,173376;37,071841:3,674795;19/11/2050 16:12;1471JPH
-72398361I;EYlrgcHPPWl;Elissa Weir;9 Hayes Way;40,804153;-2,546591
178;5;37,274361:3,472793;37,783074:3,889645;1/10/2027 16:12;8969JKP
179;8;37,193426:3,466323;37,106296:3,788537;18/3/2033 16:12;3554SAN
180;16;37,300241:3,217444;37,262276:3,795373;27/11/2026 16:12;9484ZVZ
181;21;37,775048:3,771935;37,965270:3,971282;23/11/2054 16:12;4135LLA
-83395488E;lpba0T92H9N8;Nedi Miklem;34 Columbus Center;37,730751;0,499510
182;67;37,526109:3,901425;37,793451:3,708060;25/2/2021 16:12;9241QKM
183;2;37,874599:3,037141;37,726646:3,850063;29/11/2019 16:12;7976OOY
184;19;37,882229:3,279550;37,687674:3,160283;27/1/2030 16:12;1294OHZ
185;33;37,671499:3,331309;37,602557:3,308023;1/3/2036 16:12;8889BXC
186;12;37,455702:3,127750;37,476791:3,845149;6/4/2025 16:12;5770UAD
-04084899Z;On6zIRSD0;Britni Skitteral;15 Redwing Center;36,997162;1,484543
187;6;37,852351:3,856563;37,100528:3,990814;19/6/2035 16:12;0672VCI
188;30;37,087741:3,266121;37,495041:3,838893;15/6/2024 16:12;8666GUR
-15976661T;cBd6pCziGtZ5;Roberto Oughtright;1574 Melby Park;38,663853;-5,273931
189;38;37,141911:3,130802;37,522233:3,699637;10/7/2034 16:12;0108QHZ
190;15;37,613544:3,556169;37,365795:3,541459;21/1/2058 16:12;2987OBZ
191;69;37,158544:3,929258;37,805689:3,142430;20/4/2030 16:12;5315PPD
192;27;37,873531:3,029206;37,460219:3,637501;23/2/2056 16:12;4686CWH
-78049334P;sCyeQVf;Jillene Selvey;88776 Paget Point;42,141335;-7,114822
193;30;37,215491:3,457686;37,113620:3,683859;6/1/2036 16:12;4274NOO
194;28;37,626392:3,396161;37,969512:3,141118;5/2/2023 16:12;1213ASY
195;10;37,884396:3,195898;37,907834:3,959319;4/11/2023 16:12;8660CKW
196;30;37,778130:3,830683;37,236122:3,906644;8/11/2048 16:12;1190OJD
197;15;37,294229:3,017945;37,442549:3,642293;23/7/2052 16:12;0243NHR
-54865346P;eKPsJC;Jan Tilford;140 Bashford Court;40,508961;-8,178589
198;8;37,318033:3,113987;37,310831:3,006592;20/9/2029 16:12;2241ZVP
199;54;37,952361:3,089908;37,728080:3,538285;16/5/2036 16:12;5317SEB
-60386365Y;HUOnfla8dk2M;Dreddy Munden;33 Lighthouse Bay Junction;41,880440;-3,839757
200;21;37,990509:3,598834;37,051943:3,242622;12/3/2034 16:12;0293XTZ
201;1;37,816279:3,039125;37,341014:3,251534;8/12/2041 16:12;9700JNJ
202;57;37,387341:3,193213;37,994110:3,387677;11/2/2054 16:12;8371GEZ
-17119655T;KrNdydT7qp4o;Jewell Meindl;339 Birchwood Pass;37,015228;-1,696323
203;9;37,056185:3,968352;37,482925:3,418256;9/9/2052 16:12;6982KFR
204;47;37,909452:3,121982;37,824244:3,379284;16/12/2027 16:12;2330FUU
205;11;37,018799:3,319956;37,196631:3,338755;25/6/2035 16:12;1612JUX
-66090732Q;G1C54Z;Sybille Wolfendell;6 Tennessee Parkway;42,573055;-6,196190
206;28;37,331950:3,688467;37,949217:3,117222;8/3/2032 16:12;6799SQV
207;59;37,729728:3,946501;37,176366:3,934385;8/11/2053 16:12;8621VAT
208;57;37,632130:3,411939;37,082888:3,890530;12/3/2057 16:12;0366XCR
-42100219A;zviTNI2obSP;Mychal MacCaughey;2362 Westridge Center;42,351158;1,165046
209;19;37,941069:3,824152;37,551347:3,819147;13/2/2031 16:12;3307PNS
210;40;37,656789:3,006165;37,574328:3,434858;28/9/2025 16:12;7450YBG
211;7;37,439467:3,548967;37,166692:3,243629;24/10/2031 16:12;9275MGP
212;7;37,186712:3,711356;37,115848:3,577685;2/12/2043 16:12;6460DJS
213;4;37,651601:3,829737;37,475478:3,168859;27/4/2027 16:12;4874IIZ
-49496120X;o29iGvi7I;Aarika Eilles;0 Cardinal Street;41,457497;-7,129399
214;7;37,109836:3,308054;37,241035:3,017457;16/7/2049 16:12;9992KQV
215;19;37,335490:3,670370;37,775658:3,139164;30/11/2051 16:12;0539ELS
216;1;37,999542:3,586901;37,979278:3,154149;26/4/2042 16:12;2654PQZ
-68785390M;u17S7GW75C;Walliw Kettow;14 Scott Trail;35,955719;3,266226
217;35;37,938688:3,354503;37,521714:3,167577;21/4/2056 16:12;3773SEZ
-79068339N;zkA2ph1KkE;Jakob Camelin;251 Blue Bill Park Alley;37,566818;1,241451
218;2;37,179540:3,539720;37,410718:3,172430;18/8/2028 16:12;1336KJY
219;6;37,310923:3,943632;37,957488:3,734764;29/8/2038 16:12;8803PCM
220;46;37,044954:3,948729;37,539079:3,650136;17/1/2037 16:12;8213ITO
221;13;37,955626:3,310068;37,582659:3,873226;15/10/2020 16:12;7601PVE
-44770467B;GMtvflrRj3Ay;Prinz Liddel;80 Bashford Park;40,018425;-8,186467
222;22;37,520280:3,346446;37,584582:3,654622;21/3/2049 16:12;2688WXL
223;44;37,736808:3,867824;37,503494:3,693533;17/1/2057 16:12;1383WCI
224;49;37,815027:3,201788;37,237983:3,398358;18/8/2044 16:12;8430SMA
225;22;37,108768:3,441389;37,973815:3,484115;3/6/2047 16:12;3530YSL
226;79;37,207892:3,824305;37,141942:3,334941;24/11/2053 16:12;5242BYO
-91672864R;4UTvhHGYuY;Niven Mackison;22 Jay Plaza;37,996315;-5,656947
227;67;37,484878:3,231025;37,933866:3,458388;17/3/2032 16:12;7231HKJ
228;49;37,868740:3,285043;37,780755:3,986267;9/3/2035 16:12;3709JBT
229;2;37,293863:3,870479;37,171300:3,173132;24/8/2043 16:12;5504XLK
230;38;37,649159:3,840541;37,286996:3,616382;26/11/2028 16:12;7800CWU
-85358440O;jX1c7ejLV;Ariana Coupe;875 Cascade Way;37,947453;-2,375878
231;59;37,101291:3,318857;37,008362:3,900723;10/11/2034 16:12;9045NMN
232;44;37,927000:3,654408;37,813929:3,385052;15/8/2036 16:12;1953RKY
233;27;37,552141:3,167119;37,557939:3,116520;6/9/2027 16:12;5332DZV
234;8;37,481674:3,224677;37,714042:3,065371;28/12/2020 16:12;8213ITO
-19584028W;lUh7nTXrnNYm;Kelley Gutch;131 Esker Hill;36,560108;-4,821653
235;58;37,481826:3,033113;37,942839:3,800226;5/8/2034 16:12;1645AIF
236;20;37,395306:3,968719;37,195379:3,476424;27/1/2029 16:12;7084WFU
237;3;37,688314:3,787103;37,368145:3,845698;12/5/2051 16:12;5655UIJ
238;7;37,784570:3,402417;37,694967:3,771508;29/6/2020 16:12;4874BSJ
239;18;37,743706:3,692923;37,970428:3,305063;26/7/2029 16:12;1137MGJ
-66808031N;4XsKC4snT;Merrily Grabeham;935 Prairie Rose Place;42,542698;0,659679
240;22;37,009400:3,930113;37,602161:3,261208;15/6/2033 16:12;2133MSF
-23891469R;Cm2A614;Trescha Hiom;2 Grasskamp Street;39,387051;-0,030485
241;10;37,430647:3,090243;37,772576:3,343547;25/4/2041 16:12;7504SOE
-81875106G;JjItd6nv;Rhetta Backman;81331 Anhalt Avenue;42,099567;2,233013
242;20;37,541154:3,385540;37,552080:3,870449;3/9/2053 16:12;1137MGJ
243;34;37,398511:3,179693;37,551073:3,567614;7/3/2026 16:12;8045DIC
-90075669C;ZN6n4OJABMw;Natassia Vivians;47704 Golden Leaf Road;36,696865;2,140667
244;20;37,544816:3,625599;37,722709:3,523423;17/8/2032 16:12;2661HLL
-42011865Q;P6nrw7JY008A;Pyotr Dotterill;431 Susan Avenue;36,632347;-3,466522
245;33;37,267769:3,435926;37,142979:3,446699;26/5/2026 16:12;9319CSA
246;10;37,833247:3,204810;37,742546:3,349651;11/7/2032 16:12;7191ZKB
